RegionID,Full,lat,long,pop,density
394708,"Iron Mountain, MI",45.8275,-88.0599,7352,376
394709,"Ithaca, NY",42.4442,-76.5032,30715,2200
394710,"Jackson, MI",42.2431,-84.4038,87230,1148
394711,"Jackson, MS",32.3157,-90.2125,350373,566
394712,"Jackson, TN",35.6538,-88.8354,71004,442
394713,"Jackson, WY",43.472,-110.7746,10585,1380
394714,"Jacksonville, FL",30.3322,-81.6749,1165107,466
394715,"Jacksonville, IL",39.7292,-90.2317,18784,686
394716,"Jacksonville, NC",34.7289,-77.3941,107890,589
394717,"Jacksonville, TX",31.9642,-95.2617,14809,402
394718,"Jamestown, ND",46.9063,-98.6937,15216,442
394719,"Jamestown, NY",42.0976,-79.2367,29290,1270
394720,"Janesville, WI",42.6854,-89.0135,71907,728
394721,"Jasper, IN",38.3933,-86.9402,15681,456
394723,"Jefferson City, MO",38.5676,-92.1759,42670,456
394725,"Jesup, GA",31.5992,-81.8895,9864,230
394726,"Johnson City, TN",36.3406,-82.3806,126265,596
394727,"Johnstown, PA",40.326,-78.9194,19381,1261
394728,"Jonesboro, AR",35.8212,-90.6791,73631,372
394729,"Joplin, MO",37.0757,-94.5018,81025,512
394730,"Juneau, AK",58.4546,-134.1739,32099,4
394731,"Kahului, HI",20.8715,-156.4603,29993,804
394732,"Kalamazoo, MI",42.2749,-85.5882,220561,1189
394733,"Kalispell, MT",48.2153,-114.3274,23935,743
394734,"Kankakee, IL",41.102,-87.8643,82095,662
394735,"Kansas City, MO",39.1238,-94.5541,1602005,602
394736,"Kapaa, HI",22.091,-159.3521,9961,383
394737,"Kearney, NE",40.7011,-99.0833,33783,897
394738,"Keene, NH",42.9494,-72.2998,22823,237
394739,"Kendallville, IN",41.4441,-85.2578,9365,596
394740,"Kennett, MO",36.2403,-90.0481,10069,555
394741,"Kennewick, WA",46.1978,-119.1732,240876,1162
394742,"Kerrville, TX",30.0398,-99.132,23511,413
394743,"Ketchikan, AK",55.3556,-131.6698,8230,833
394744,"Key West, FL",24.5642,-81.7775,24495,1689
394745,"Kill Devil Hills, NC",36.0167,-75.6699,7249,498
